20.08.2023, 14:54
Статистика проекта

                    	Сегменты	Слова	Символы (без пробелов)	Символы (с пробелами)	Количество файлов	
Всего:              	    3108	35118	                245316	               279151	               42	
Осталось:           	    3107	35113	                245282	               279113	               42	
Уникальные:         	    2394	30958	                212064	               242117	               41	
Осталось уникальных:	    2393	30953	                212030	               242079	               41	


Статистика по отдельным файлам:

Имя файла                    	Всего сегментов	Осталось сегментов	Уникальные сегменты	Осталось уникальных сегментов	Всего слов	Осталось слов	Уникальные слова	Осталось уникальных слов	Всего символов (без пробелов)	Осталось символов (без пробелов)	Уникальные символы (без пробелов)	Осталось уникальных символов (без пробелов)	Всего символов (с пробелами)	Осталось символов (с пробелами)	Уникальные символы (с пробелами)	Осталось уникальных символов (с пробелами)	
blog/complex-prog/index.md   	            138	               138	                136	                          136	      1384	         1384	            1384	                    1384	                         8173	                            8173	                             8153	                                       8153	                        9402	                           9402	                            9382	                                      9382	
blog/dsl-with-macros.en.md   	            155	               155	                141	                          141	      1939	         1939	            1931	                    1931	                        10968	                           10968	                            10925	                                      10925	                       12965	                          12965	                           12920	                                     12920	
blog/dsl-with-macros.md      	            157	               157	                130	                          130	      1671	         1671	            1639	                    1639	                        12098	                           12098	                            11858	                                      11858	                       13875	                          13875	                           13589	                                     13589	
blog/inter-prog.md           	            113	               113	                106	                          106	      1479	         1479	            1456	                    1456	                        10291	                           10291	                            10084	                                      10084	                       11662	                          11662	                           11435	                                     11435	
blog/lang-final/index.md     	             42	                42	                 40	                           40	       658	          658	             655	                     655	                         4536	                            4536	                             4489	                                       4489	                        5139	                           5139	                            5091	                                      5091	
blog/logic-prog.md           	             71	                71	                 70	                           70	      1121	         1121	            1120	                    1120	                         7482	                            7482	                             7468	                                       7468	                        8541	                           8541	                            8527	                                      8527	
blog/newlang.md              	            437	               436	                416	                          415	      5250	         5245	            5200	                    5195	                        35158	                           35124	                            34761	                                      34727	                       40100	                          40062	                           39668	                                     39630	
blog/parser-nuances.md       	            103	               103	                101	                          101	      1552	         1552	            1547	                    1547	                         9594	                            9594	                             9548	                                       9548	                       11119	                          11119	                           11070	                                     11070	
blog/prog-styles-same-time.md	            172	               172	                142	                          142	      1809	         1809	            1763	                    1763	                        12380	                           12380	                            11946	                                      11946	                       14031	                          14031	                           13558	                                     13558	
blog/release-0.1.md          	            336	               336	                233	                          233	      4664	         4664	            3698	                    3698	                        31795	                           31795	                            25520	                                      25520	                       36490	                          36490	                           29330	                                     29330	
